Census-Value,Correlation,n_routes,n_stops,n_trips,n_days,height_km,width_km,n_service_days,stop_spatial_density,trip_temporal_density,route_trip_avg
Population2021,Pearson,***,***,***,***,,,,***,***,
Population2021,Spearman,**,***,**,***,,,**,***,**,*
Population2016,Pearson,***,***,***,***,,,,***,***,
Population2016,Spearman,**,***,**,***,,,**,***,**,
Population2011,Pearson,***,***,***,***,,,,***,***,
Population2011,Spearman,**,***,**,***,,,**,***,**,
PopulationPercentChange20162021,Pearson,,,,,,,,,,
PopulationPercentChange20162021,Spearman,,,,,,,,,,
TotalPrivateDwellings2021,Pearson,***,***,***,***,,,,***,***,
TotalPrivateDwellings2021,Spearman,**,**,**,***,,,*,***,**,*
TotalPrivateDwellings2016,Pearson,***,***,***,***,,,,***,***,
TotalPrivateDwellings2016,Spearman,**,**,**,***,,,*,***,*,
TotalPrivateDwellingsPercentChange20162021,Pearson,,,,,,,,,,
TotalPrivateDwellingsPercentChange20162021,Spearman,,,,,,,,,,
PrivateDwellingsOccupiedByUsualResidents2021,Pearson,***,***,***,***,,,,***,***,
PrivateDwellingsOccupiedByUsualResidents2021,Spearman,**,**,**,***,,,*,***,**,*
PrivateDwellingsOccupiedByUsualResidents2016,Pearson,***,***,***,***,,,,***,***,
PrivateDwellingsOccupiedByUsualResidents2016,Spearman,**,**,**,***,,,*,***,**,
PrivateDwellingsOccupiedByUsualResidentsPercentChange20162021,Pearson,,,,,,,,,,
PrivateDwellingsOccupiedByUsualResidentsPercentChange20162021,Spearman,,,,,,,,,,
LandAreaInSquareKilometres2021,Pearson,,,,,,,,,,
LandAreaInSquareKilometres2021,Spearman,*,*,,,,,**,*,,
LandAreaInSquareKilometres2016,Pearson,,,,,,,,,,
LandAreaInSquareKilometres2016,Spearman,,,,,,,*,*,,
PopulationDensityPerSquareKilometre2021,Pearson,**,***,***,***,,,,**,***,**
PopulationDensityPerSquareKilometre2021,Spearman,**,***,**,***,,,,**,**,**
PopulationDensityPerSquareKilometre2016,Pearson,***,***,***,***,,,,**,***,**
PopulationDensityPerSquareKilometre2016,Spearman,**,***,***,***,,,,**,***,**
NationalPopulationRank2021,Pearson,*,*,,,,,,***,,
NationalPopulationRank2021,Spearman,**,***,**,***,,,**,***,**,*
NationalPopulationRank2016,Pearson,*,*,,,,,,***,,
NationalPopulationRank2016,Spearman,**,***,**,***,,,**,***,**,
ProvincialTerritorialPopulationRank2021,Pearson,**,*,,,*,*,,***,,
ProvincialTerritorialPopulationRank2021,Spearman,**,**,*,***,,,,***,,
ProvincialTerritorialPopulationRank2016,Pearson,**,*,,,*,*,,***,,
ProvincialTerritorialPopulationRank2016,Spearman,**,**,*,***,,,,***,,
